Filename; Timestamp from FTS; Matching Timestamp from TXT; Branch number; Position in branch; Branch length; Branch generation; branchCode; Offset [mm]
BronchoscopyVideo_1_20260106T094137_openCV_0.mhd; 1767688934073;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_1.mhd; 1767688934173;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_2.mhd; 1767688934239;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_3.mhd; 1767688934306;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_4.mhd; 1767688934406;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_5.mhd; 1767688934506;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_6.mhd; 1767688934606;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_7.mhd; 1767688934706;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_8.mhd; 1767688934806;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_9.mhd; 1767688934906;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_10.mhd; 1767688935006;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_11.mhd; 1767688935106;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_12.mhd; 1767688935206;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_13.mhd; 1767688935306;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_14.mhd; 1767688935406;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_15.mhd; 1767688935506;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_16.mhd; 1767688935606;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_17.mhd; 1767688935706;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_18.mhd; 1767688935806;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_19.mhd; 1767688935906;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_20.mhd; 1767688936006;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_21.mhd; 1767688936106;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_22.mhd; 1767688936206;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_23.mhd; 1767688936307;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_24.mhd; 1767688936406;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_25.mhd; 1767688936506;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_26.mhd; 1767688936607;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_27.mhd; 1767688936706;-1;-1;-1;-1;-1;-1;-1
BronchoscopyVideo_1_20260106T094137_openCV_28.mhd; 1767688936806;-1;-1;-1;-1;-1;-1;-1
